,o2,pasos,fcard,ano_fcad,ano_o2
334,95.0,91.0,31.0,1,1
335,95.0,91.0,40.0,1,1
336,95.0,91.0,87.0,-1,1
337,95.0,91.0,73.0,1,1
338,95.0,91.0,48.0,-1,1
339,95.0,91.0,48.0,-1,1
340,95.0,91.0,12.0,-1,1
341,95.0,91.0,12.0,-1,1
342,95.0,91.0,12.0,-1,1
343,95.0,92.0,12.0,-1,1
344,95.0,92.0,12.0,-1,1
345,95.0,93.0,55.0,1,1
346,95.0,93.0,55.0,1,1
347,95.0,93.0,33.0,1,1
348,95.0,93.0,87.0,-1,1
349,95.0,93.0,55.0,1,1
350,95.0,93.0,37.386842105263156,1,1
351,95.0,94.0,37.386842105263156,1,1
352,95.0,94.0,73.0,1,1
353,95.0,94.0,63.0,1,1
354,95.0,95.0,3.0,-1,1
355,95.0,95.0,3.0,-1,1
356,95.0,95.0,87.0,-1,1
357,95.0,95.0,55.0,1,1
358,95.0,95.0,58.0,1,1
359,95.0,95.0,58.0,1,1
360,95.0,96.0,14.0,-1,1
361,95.0,97.0,14.0,-1,1
362,95.0,97.0,80.0,-1,1
363,95.0,97.0,45.0,1,1
364,95.0,98.0,45.0,1,1
365,95.0,98.0,45.0,1,1
366,95.0,98.0,45.0,1,1
367,95.0,98.0,45.0,1,1
368,95.0,98.0,45.0,1,1
369,95.0,99.0,45.0,1,1
370,95.0,100.0,45.0,1,1
371,95.0,100.0,45.0,1,1
372,95.0,100.0,45.0,1,1
373,95.0,100.0,45.0,1,1
374,95.0,100.0,55.0,1,1
375,42.0,100.0,55.0,1,-1
376,88.0,100.0,37.386842105263156,1,-1
377,88.0,100.0,68.0,1,-1
378,88.0,100.0,40.0,1,-1
379,88.0,100.0,40.0,1,-1
